ExamType,Semester,DayOrder,Date,Day
Internal 1,ODD,IV,10.08.2026,Monday
Internal 1,ODD,V,11.08.2026,Tuesday
Internal 1,ODD,VI,12.08.2026,Wednesday
Internal 1,ODD,I,13.08.2026,Thursday
Internal 1,ODD,II,14.08.2026,Friday
Internal 2,ODD,IV,24.09.2026,Thursday
Internal 2,ODD,V,25.09.2026,Friday
Internal 2,ODD,VI,28.09.2026,Monday
Internal 2,ODD,I,29.09.2026,Tuesday
Internal 2,ODD,II,30.09.2026,Wednesday
Model,ODD,VI,15.10.2026,Thursday
Model,ODD,I,16.10.2026,Friday
Model,ODD,II,21.10.2026,Wednesday
Model,ODD,III,22.10.2026,Thursday
Model,ODD,IV,23.10.2026,Friday
